AMYTON,AMYTON SA 5431
APPILA,APPILA SA 5480
BANGOR,BANGOR SA 5481
BAROOTA,BAROOTA SA 5495
BOOLEROO CENTRE,BOOLEROO CENTRE SA 5482
BRUCE,BRUCE SA 5433
COOMOOROO,COOMOOROO SA 5431
GERMEIN BAY,GERMEIN BAY SA 5495
HAMMOND,HAMMOND SA 5431
MAMBRAY CREEK,MAMBRAY CREEK SA 5495
MELROSE,MELROSE SA 5483
MOOCKRA,MOOCKRA SA 5432
MORCHARD,MORCHARD SA 5431
MURRAY TOWN,MURRAY TOWN SA 5481
NECTAR BROOK,NECTAR BROOK SA 5495
PORT GERMEIN,PORT GERMEIN SA 5495
SALTIA,SALTIA SA 5433
STONE HUT,STONE HUT SA 5480
TELOWIE,TELOWIE SA 5540
WEEROONA ISLAND,WEEROONA ISLAND SA 5495
WILLOWIE,WILLOWIE SA 5431
WILMINGTON,WILMINGTON SA 5485
WINNINOWIE,WINNINOWIE SA 5700
WIRRABARA,WIRRABARA SA 5481
WONGYARRA,WONGYARRA SA 5481
WOOLUNDUNGA,WOOLUNDUNGA SA 5701
